"Green Township United States"
39.9,84.22,306,5,-30,1,1,"SYN"

78.3,105.2,144.3,204.6,235.9,255.9,245.5,232.1,179.8,143.5,80.7,64.4
-3.3,-0.5,4.3,10.2,15.3,21.3,22.8,20.9,18.5,11,5,-1.1
5.1,4.9,5.7,5.2,4,3.9,3.4,3.2,2.8,3.9,4.7,4.9
0	0	-13.3	0
0	0	-13.9	0
0	0	-13.9	0
35	33	-11.7	2.1
165	101	-10	2.1
255	128	-8.9	2.1
246	216	-8.3	2.1
273	227	-7.8	2.1
125	120	-7.8	2.1
164	161	-7.2	2.1
143	122	-7.2	3.1
66	63	-7.8	1.5
12	12	-8.3	2.6
0	0	-8.9	3.6
0	0	-8.3	3.6
0	0	-8.3	2.6
0	0	-8.3	4.1
0	0	-7.8	3.6
0	0	-7.8	4.6
0	0	-7.8	3.6
0	0	-8.3	3.6
0	0	-7.8	4.1
0	0	-7.2	4.1
0	0	-7.8	3.6
0	0	-6.7	4.1
0	0	-7.8	3.6
0	0	-6.1	4.6
40	31	-6.1	5.2
64	64	-4.4	6.2
241	163	-2.2	5.2
346	183	-0.6	7.2
459	71	1.7	6.2
474	54	2.8	7.7
374	45	2.8	7.2
258	43	3.3	7.2
126	29	3.3	4.1
23	11	2.2	4.6
0	0	0	4.1
0	0	-0.6	3.6
0	0	0.6	4.1
0	0	0.6	6.2
0	0	1.1	6.7
0	0	0.6	6.2
0	0	0.6	7.2
0	0	0	6.7
0	0	0.6	7.7
0	0	0.6	8.2
0	0	0.6	6.7
0	0	0	6.7
0	0	-1.1	6.2
0	0	-1.1	5.7
41	29	0	8.2
171	67	2.2	9.3
309	90	5	7.7
437	56	6.7	8.2
489	57	8.3	8.2
474	56	10.6	10.3
399	51	10.6	8.8
277	43	11.7	11.3
112	82	10	8.8
22	20	8.9	9.8
0	0	8.9	8.8
0	0	8.9	8.8
